word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x266909D541,5,223,44.6,5.0,223,13,123,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0x59CB266909,5,27,5.4,5.0,27,10,17,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0xCB266909D5,5,30,6.0,5.0,30,10,17,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x59F72669,4,74,14.8,5.0,74,9,44,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0xF7266909,4,70,14.0,5.0,70,7,42,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0x1B997136,4,46,9.2,5.0,46,12,28,Transcription,4.86,5.686083533494969e-09,12,1,Transcription(4.86x)
0x99713698,4,53,10.6,5.0,53,14,33,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0x59CB2669,4,56,11.2,5.0,56,19,33,Transcription,4.86,8.597864487644327e-14,19,1,Transcription(4.86x)
0xCB266909,4,32,6.4,5.0,32,11,19,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x6909D541,4,241,48.2,5.0,241,14,130,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0x582971,3,24,4.8,5.0,24,8,12,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x59F726,3,65,13.0,5.0,65,11,42,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xF72669,3,62,12.4,5.0,62,9,40,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x997136,3,47,9.4,5.0,47,15,30,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0xCB2669,3,55,11.0,5.0,55,19,31,Transcription,4.86,8.597864487644327e-14,19,1,Transcription(4.86x)
0x09D541,3,206,41.2,5.0,206,13,109,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0xE65C4DA620,5,31,6.2,5.0,31,5,13,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x46E65C4DA6,5,26,5.2,5.0,26,7,12,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0x4DA620BD54,5,167,33.4,5.0,167,18,101,Transcription,4.86,4.2025038246505523e-13,18,1,Transcription(4.86x)
0xE65C4DA6,4,54,10.8,5.0,54,12,21,Transcription,4.86,5.686083533494969e-09,12,1,Transcription(4.86x)
0x46E65C4D,4,58,11.6,5.0,58,9,21,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0xA620BD54,4,174,34.8,5.0,174,20,104,Transcription,4.86,1.7583726700607206e-14,20,1,Transcription(4.86x)
0xD672C99A,4,70,14.0,5.0,70,17,40,Transcription,4.86,2.053352830271332e-12,17,1,Transcription(4.86x)
0xE65C4D,3,83,16.6,5.0,83,16,30,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x46E65C,3,56,11.2,5.0,56,10,20,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x20BD54,3,157,31.4,5.0,157,21,98,Transcription,4.86,3.594752654656496e-15,21,1,Transcription(4.86x)
0xD672C9,3,89,17.8,5.0,89,18,45,Transcription,4.86,4.2025038246505523e-13,18,1,Transcription(4.86x)
0x72C99A,3,72,14.4,5.0,72,16,41,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0xDC99A4,3,160,32.0,5.0,160,26,80,Transcription,4.86,1.2765052968862076e-18,26,1,Transcription(4.86x)
0x61C99A42,4,37,7.4,5.0,37,10,18,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x5C5DA6,3,20,4.0,5.0,20,12,15,Transcription,4.86,5.686083533494969e-09,12,1,Transcription(4.86x)
0x369882F557,5,51,10.2,5.0,51,15,35,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0xF557590B26,5,30,6.0,5.0,30,11,22,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x6909D55DC8,5,33,6.6,5.0,33,11,23,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xF513598B26,5,50,10.0,5.0,50,13,33,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0x13598B2669,5,62,12.4,5.0,62,15,36,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x711B937136,5,22,4.4,5.0,22,7,16,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0x1B93713698,5,30,6.0,5.0,30,8,23,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x9371369882,5,51,10.2,5.0,51,10,35,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x9882F55759,5,51,10.2,5.0,51,15,35,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x82F557590B,5,30,6.0,5.0,30,11,22,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x82F513598B,5,32,6.4,5.0,32,10,23,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x267909D5,4,22,4.4,5.0,22,6,15,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0x7909D55D,4,27,5.4,5.0,27,9,14,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x13598B26,4,63,12.6,5.0,63,16,37,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x1B937136,4,31,6.2,5.0,31,8,22,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x09D55DC8,4,44,8.8,5.0,44,16,31,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x9882F557,4,47,9.4,5.0,47,15,32,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x82F55759,4,50,10.0,5.0,50,16,34,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0xF557590B,4,29,5.8,5.0,29,11,21,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xF513598B,4,52,10.4,5.0,52,15,34,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x711B9371,4,22,4.4,5.0,22,10,17,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x267909,3,21,4.2,5.0,21,6,14,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0xD55DC8,3,52,10.4,5.0,52,15,30,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x7909D5,3,35,7.0,5.0,35,9,18,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x82F557,3,27,5.4,5.0,27,10,21,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x13598B,3,61,12.2,5.0,61,16,34,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x1B9371,3,25,5.0,5.0,25,9,19,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x882F510997,5,23,4.6,5.0,23,5,15,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x882F5109,4,26,5.2,5.0,26,5,18,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x2F510997,4,24,4.8,5.0,24,5,16,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x510997,3,29,5.8,5.0,29,10,18,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0xE79779,3,51,10.2,5.0,51,7,14,RNA processing,16.94,4.111936267346344e-05,4,2,RNA processing(16.94x); Nuc acid bind(5.76x)
0xD75675,3,59,11.8,5.0,59,7,16,Unclassified,0,1.0,0,0,
0xC46E45C4DA,5,145,29.0,5.0,145,26,80,Transcription,4.86,1.2765052968862076e-18,26,1,Transcription(4.86x)
0x6E45C4DA62,5,141,28.2,5.0,141,26,77,Transcription,4.86,1.2765052968862076e-18,26,1,Transcription(4.86x)
0xC46E45C4,4,153,30.6,5.0,153,29,83,Transcription,4.86,1.0821363952964165e-20,29,1,Transcription(4.86x)
0x6E45C4DA,4,144,28.8,5.0,144,28,80,Transcription,4.86,5.309151970511317e-20,28,1,Transcription(4.86x)
0x64DC99A4,4,104,20.8,5.0,104,14,54,Transcription,4.51,1.3216084022982544e-08,13,1,Transcription(4.51x)
0xC46E45,3,144,28.8,5.0,144,28,75,Transcription,4.86,5.309151970511317e-20,28,1,Transcription(4.86x)
0x6E45C4,3,140,28.0,5.0,140,27,74,Transcription,4.86,2.6037862656508623e-19,27,1,Transcription(4.86x)
