word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x77DE,2,99,10.0,9.9,99,41,64,Cytoskeleton,4.99,0.0030647219855839385,5,1,Cytoskeleton(4.99x)
0x765F,2,84,8.5,9.9,84,37,61,Chromatin,4.53,0.00028978487637748096,8,2,Chromatin(4.53x); Transcription(1.92x)
0x09D0,2,84,8.5,9.9,84,44,64,RNA processing,4.1,0.0014039037168276048,7,1,RNA processing(4.1x)
0x45C4,2,76,7.7,9.9,76,53,63,Transcription,3.61,1.7735755281222473e-19,43,1,Transcription(3.61x)
0x756E,2,128,13.1,9.8,128,55,94,Transport,2.73,0.0018412864699504762,11,1,Transport(2.73x)
0x35D3,2,69,7.0,9.8,69,27,47,Cytoskeleton,7.58,0.0004362647639329629,5,1,Cytoskeleton(7.58x)
0xC820,2,69,7.0,9.8,69,25,50,Unclassified,0,1.0,0,0,
0x1CB9,2,90,9.2,9.8,90,54,75,Transcription,3.46,8.617284770419802e-18,42,1,Transcription(3.46x)
0x37DA,2,57,5.8,9.7,57,28,41,Unclassified,0,1.0,0,0,
0xE65C,2,51,5.3,9.7,51,27,39,Transcription,2.64,4.040491819833539e-05,16,1,Transcription(2.64x)
0x7136,2,229,23.6,9.7,229,148,187,Transcription,3.7,7.258913895575681e-56,123,1,Transcription(3.7x)
0x779E,2,67,6.9,9.7,67,27,49,Kinase,5.89,3.702828855701018e-05,8,3,Kinase(5.89x); Cell cycle(5.81x); Nuc acid bind(2.79x)
0x8829,2,51,5.3,9.6,51,21,34,Transport,3.9,0.0031568553825779304,6,1,Transport(3.9x)
0x356A,2,61,6.4,9.6,61,30,43,Structural,6.55,0.0008755307462200585,5,2,Structural(6.55x); Cell adhesion(4.24x)
0x0A2E,2,68,7.1,9.5,68,29,44,RNA processing,5.33,0.000737036368294253,6,2,RNA processing(5.33x); Nuc acid bind(3.71x)
0xF7DC,2,108,11.4,9.5,108,56,79,Chromatin,3.37,0.0012266311799479243,9,2,Chromatin(3.37x); Transcription(1.67x)
0x7797,2,235,24.6,9.5,235,112,158,RNA processing,10.58,9.825783601568009e-36,46,2,RNA processing(10.58x); Nuc acid bind(3.75x)
0xCA2C,2,75,7.9,9.5,75,28,52,DNA repair,4.33,0.002120887198611245,6,1,DNA repair(4.33x)
0x756C,2,245,26.2,9.4,245,112,179,Kinase,2.31,0.004043164198544227,13,1,Kinase(2.31x)
0x77DA,2,161,17.1,9.4,161,69,114,Transcription,1.68,0.0030343999743501844,26,1,Transcription(1.68x)
0xE797,2,90,9.6,9.4,90,35,60,RNA processing,10.3,1.6162864262478294e-11,14,2,RNA processing(10.3x); Nuc acid bind(3.69x)
0x769B,2,91,9.7,9.4,91,49,72,Unclassified,0,1.0,0,0,
0xF6DF,2,212,22.8,9.3,212,95,152,Transcription,2.06,2.2825071548127538e-07,44,1,Transcription(2.06x)
0x1899,2,76,8.2,9.3,76,53,64,Structural,5.19,0.0003662491137027044,7,2,Structural(5.19x); Transcription(3.27x)
0x9171,2,71,7.6,9.3,71,56,64,Transcription,3.81,1.1345032272631509e-23,48,1,Transcription(3.81x)
0xE560,2,86,9.4,9.2,86,38,70,DNA repair,4.25,0.0004489273441309568,8,2,DNA repair(4.25x); Cell cycle(4.13x)
0x0B25,2,79,8.6,9.2,79,26,51,Unclassified,0,1.0,0,0,
0x7563,2,76,8.2,9.2,76,39,56,Cell adhesion,3.81,0.002062674608433717,7,1,Cell adhesion(3.81x)
0x9CBD,2,104,11.3,9.2,104,34,78,Unclassified,0,1.0,0,0,
0x8820,2,179,19.6,9.1,179,80,124,Cytoskeleton,5.63,3.5992690411516352e-06,11,3,Cytoskeleton(5.63x); Chromatin(3.41x); Kinase(2.73x)
0xF7DB,2,137,15.1,9.1,137,66,100,Nuc acid bind,2.61,0.00027128415410488125,16,2,Nuc acid bind(2.61x); Transcription(2.02x)
0x7698,2,219,24.4,9.0,219,93,166,Cell adhesion,2.74,0.0013688158630357555,12,2,Cell adhesion(2.74x); Transcription(1.53x)
0x8420,2,63,7.0,9.0,63,25,44,Cytoskeleton,8.19,0.0002988330838093039,5,1,Cytoskeleton(8.19x)
0xBDF7,2,126,14.0,9.0,126,64,98,RNA processing,3.22,0.003197405336161825,8,2,RNA processing(3.22x); Transcription(1.67x)
0x18A1,2,185,20.5,9.0,185,82,141,Phosphatase,4.82,0.0037939451186607535,5,4,Phosphatase(4.82x); Proteolysis(2.57x); Chromatin(2.56x); DNA repair(2.46x)
0x0A2B,2,89,10.0,8.9,89,31,56,Structural,5.07,0.007544883535852397,4,1,Structural(5.07x)
0x9371,2,62,6.9,8.9,62,49,58,Transcription,3.99,1.3088036114873307e-23,44,1,Transcription(3.99x)
0x25B9,2,515,58.4,8.8,515,204,357,Chromatin,2.05,0.0018000307609370115,20,3,Chromatin(2.05x); Kinase(1.95x); DNA repair(1.88x)
0x7568,2,432,49.0,8.8,432,179,304,Cytoskeleton,2.52,0.004511978082958625,11,1,Cytoskeleton(2.52x)
0x77D3,2,87,9.9,8.8,87,41,73,Cytoskeleton,4.99,0.0030647219855839385,5,3,Cytoskeleton(4.99x); Chromatin(3.58x); Transcription(1.95x)
0x8A2B,2,175,19.8,8.8,175,66,120,Cell cycle,3.8,0.001130528505631391,8,3,Cell cycle(3.8x); RNA processing(3.51x); Nuc acid bind(2.12x)
0x6082,2,189,21.4,8.8,189,86,135,Cell cycle,4.38,1.687429682885326e-05,12,4,Cell cycle(4.38x); Chromatin(3.9x); Cytoskeleton(3.33x); Kinase(2.54x)
0x8567,2,126,14.5,8.7,126,48,94,Chromatin,3.06,0.007297369657181163,7,1,Chromatin(3.06x)
0x6F7D,2,387,44.6,8.7,387,177,262,Chromatin,2.25,0.0007948295324484827,19,2,Chromatin(2.25x); Transcription(1.66x)
0x8560,2,133,15.2,8.7,133,65,99,Kinase,4.28,3.2198522574908393e-06,14,2,Kinase(4.28x); Apoptosis(2.45x)
0xF5D7,2,196,22.6,8.7,196,85,141,Cytoskeleton,4.34,0.00022204278098224888,9,2,Cytoskeleton(4.34x); Transcription(1.83x)
0xF62A,2,61,7.1,8.7,61,29,48,Unclassified,0,1.0,0,0,
0xD59D,2,1389,161.6,8.6,1389,633,1038,Cell cycle,1.83,0.00026461831462528876,37,6,Cell cycle(1.83x); Cytoskeleton(1.68x); Ion channel(1.6x); Cell adhesion(1.57x); Chromatin(1.56x); Kinase(1.51x)
0x5960,2,564,65.9,8.6,564,225,380,Cytoskeleton,2.73,0.00042094212350762106,15,5,Cytoskeleton(2.73x); Cell cycle(2.09x); Kinase(1.94x); DNA repair(1.89x); Transport(1.76x)
0x6CAD,2,158,18.4,8.6,158,62,114,Cytoskeleton,3.96,0.003939836241181061,6,1,Cytoskeleton(3.96x)
