word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xE56C,2,81,4.3,18.8,81,23,63,Cell cycle,5.36,0.005830620878336446,4,1,Cell cycle(5.36x)
0xB7DF,2,101,5.5,18.4,101,29,73,Transcription,2.13,0.005253493597520023,12,1,Transcription(2.13x)
0xCADC,2,71,3.9,18.2,71,24,47,Unclassified,0,1.0,0,0,
0x0850,2,60,3.3,18.2,60,19,36,Unclassified,0,1.0,0,0,
0x8628,2,358,19.8,18.1,358,123,250,Chromatin,2.38,0.0006735152588351778,17,2,Chromatin(2.38x); Transcription(1.84x)
0x0560,2,86,4.8,18.0,86,27,59,Cell adhesion,7.35,0.0019104125855597105,4,1,Cell adhesion(7.35x)
0x7417,2,192,10.7,18.0,192,79,129,Cytoskeleton,3.3,0.009299070171970887,6,2,Cytoskeleton(3.3x); Transcription(2.09x)
0x72CB,2,864,48.3,17.9,864,263,487,Transcription,2.65,6.01762806032332e-33,135,1,Transcription(2.65x)
0x37D3,2,101,5.7,17.8,101,35,69,Transcription,2.06,0.003824051320784143,14,1,Transcription(2.06x)
0xE568,2,133,7.5,17.8,133,49,99,Unclassified,0,1.0,0,0,
0xF567,2,55,3.1,17.7,55,19,37,Transcription,2.44,0.005307293521857776,9,1,Transcription(2.44x)
0xB2C7,2,105,6.0,17.5,105,49,77,Transcription,3.16,1.2208711722817937e-10,30,1,Transcription(3.16x)
0xE560,2,103,6.0,17.3,103,30,77,Unclassified,0,1.0,0,0,
0x0967,2,59,3.4,17.2,59,17,39,Unclassified,0,1.0,0,0,
0x1041,2,557,33.1,16.8,557,176,303,Transcription,2.9,2.287727293150751e-28,99,1,Transcription(2.9x)
0x7727,2,118,7.2,16.3,118,38,74,Unclassified,0,1.0,0,0,
0xB560,2,130,8.2,15.8,130,50,109,Transcription,1.86,0.004303149113616919,18,1,Transcription(1.86x)
0x7427,2,132,8.4,15.8,132,37,95,RNA processing,4.38,0.0008643730513550013,7,1,RNA processing(4.38x)
0xB98B,2,65,4.1,15.7,65,28,50,RNA processing,5.79,0.0001385254948078433,7,1,RNA processing(5.79x)
0xC960,2,75,4.9,15.3,75,32,64,Unclassified,0,1.0,0,0,
0x8A18,2,188,12.3,15.2,188,58,128,Transcription,1.78,0.004743370174996188,20,1,Transcription(1.78x)
0x7DF7,2,775,51.4,15.1,775,197,444,Transcription,2.22,5.990453725342975e-15,85,2,Transcription(2.22x); Chromatin(2.01x)
0x772F,2,64,4.2,15.1,64,19,31,Unclassified,0,1.0,0,0,
0x356B,2,73,4.8,15.1,73,20,46,Unclassified,0,1.0,0,0,
0x896B,2,53,3.5,15.1,53,19,38,Cytoskeleton,6.86,0.008810930635757901,3,1,Cytoskeleton(6.86x)
0x1CB2,2,253,16.9,15.0,253,96,167,Transcription,2.74,1.01612432353372e-13,51,1,Transcription(2.74x)
0x75DA,2,344,23.0,14.9,344,99,209,Transcription,1.98,7.444554106975366e-06,38,1,Transcription(1.98x)
0xA7DF,2,55,3.7,14.7,55,13,32,Unclassified,0,1.0,0,0,
0x7697,2,407,27.9,14.6,407,141,258,Transcription,2.01,3.5479077560825727e-08,55,1,Transcription(2.01x)
0x096C,2,58,4.0,14.6,58,21,40,Unclassified,0,1.0,0,0,
0x3567,2,82,5.7,14.5,82,30,52,Kinase,4.44,0.0018793517240469845,6,1,Kinase(4.44x)
0x356C,2,94,6.5,14.4,94,21,54,Signaling,2.93,0.006621940542768046,7,1,Signaling(2.93x)
0xB69B,2,87,6.1,14.4,87,28,59,Unclassified,0,1.0,0,0,
0xF7DC,2,80,5.6,14.3,80,29,60,Transcription,2.49,0.00040780073621865087,14,1,Transcription(2.49x)
0x37DF,2,78,5.5,14.1,78,30,51,Kinase,5.18,0.00028943631925399033,7,2,Kinase(5.18x); Transcription(2.23x)
0xBDF7,2,80,5.7,14.1,80,26,54,Unclassified,0,1.0,0,0,
0x769A,2,268,19.1,14.0,268,90,171,Transcription,2.41,3.1098615629859005e-09,42,1,Transcription(2.41x)
0x769B,2,99,7.1,14.0,99,32,72,Unclassified,0,1.0,0,0,
0x8568,2,168,12.1,13.9,168,50,112,Cytoskeleton,4.34,0.005513082139546576,5,1,Cytoskeleton(4.34x)
0x8825,2,130,9.3,13.9,130,43,85,Unclassified,0,1.0,0,0,
0x3568,2,157,11.3,13.8,157,37,100,Cell adhesion,6.71,0.0007871940155221947,5,1,Cell adhesion(6.71x)
0xE797,2,79,5.9,13.4,79,25,55,Unclassified,0,1.0,0,0,
0x0417,2,50,3.7,13.4,50,15,30,Transcription,3.09,0.0006073146507470716,9,1,Transcription(3.09x)
0xE567,2,50,3.7,13.4,50,22,37,DNA repair,4.91,0.007893753675928277,4,1,DNA repair(4.91x)
0x0568,2,80,6.0,13.4,80,32,58,Cytoskeleton,8.14,7.296318621268015e-05,6,2,Cytoskeleton(8.14x); Cell adhesion(6.2x)
0x6F7D,2,262,19.7,13.3,262,82,156,Cell adhesion,4.24,0.0012124671045153895,7,3,Cell adhesion(4.24x); Chromatin(2.31x); Transcription(2.26x)
0x1F71,2,75,5.7,13.3,75,33,54,Transcription,3.28,2.979186305479382e-08,21,1,Transcription(3.28x)
0x8820,2,101,7.7,13.1,101,34,69,Cytoskeleton,5.11,0.007269085437134027,4,2,Cytoskeleton(5.11x); DNA repair(3.97x)
0x05D0,2,100,7.6,13.1,100,43,77,Transcription,2.4,4.752576830725918e-05,20,1,Transcription(2.4x)
0xC9DC,2,58,4.4,13.1,58,21,40,Unclassified,0,1.0,0,0,
0x28A2,2,675,51.8,13.0,675,180,407,Chromatin,2.77,3.5643764146589634e-07,29,2,Chromatin(2.77x); Transcription(1.66x)
0x35D3,2,150,11.6,13.0,150,39,104,Chromatin,3.97,0.0003028238151939749,9,1,Chromatin(3.97x)
0xA56A,2,67,5.2,12.9,67,17,52,Unclassified,0,1.0,0,0,
0xB450,2,55,4.3,12.8,55,18,37,Kinase,4.93,0.007477211294818979,4,1,Kinase(4.93x)
0x8428,2,78,6.1,12.8,78,25,56,Chromatin,4.13,0.0025378611190227424,6,1,Chromatin(4.13x)
0x3560,2,115,9.0,12.7,115,29,72,Unclassified,0,1.0,0,0,
0x35D7,2,273,21.8,12.5,273,94,179,Chromatin,2.74,0.00029225767649872816,15,4,Chromatin(2.74x); Kinase(2.6x); Signaling(1.78x); Transcription(1.65x)
0x9A69,2,1281,103.5,12.4,1281,363,680,Transcription,1.79,7.01366152230174e-13,126,2,Transcription(1.79x); Nuc acid bind(1.53x)
0xA69C,2,70,5.6,12.4,70,18,36,Transcription,3.15,0.00011538287255204182,11,1,Transcription(3.15x)
0x8B25,2,99,8.0,12.3,99,32,75,Unclassified,0,1.0,0,0,
0x18A1,2,213,17.2,12.3,213,58,130,Unclassified,0,1.0,0,0,
0xF568,2,76,6.2,12.2,76,21,55,Cell adhesion,7.09,0.008116053903813049,3,1,Cell adhesion(7.09x)
0xB567,2,63,5.2,12.2,63,18,36,Unclassified,0,1.0,0,0,
0x9CB9,2,84,6.9,12.2,84,22,60,Unclassified,0,1.0,0,0,
0xB2C9,2,127,10.5,12.1,127,39,91,Transcription,3.04,5.118032487808766e-08,23,1,Transcription(3.04x)
0x0B20,2,58,4.8,12.1,58,19,42,Unclassified,0,1.0,0,0,
0xB568,2,124,10.3,12.0,124,42,97,Unclassified,0,1.0,0,0,
0x069A,2,56,4.7,11.9,56,20,39,Unclassified,0,1.0,0,0,
0x8567,2,71,6.0,11.8,71,23,47,Unclassified,0,1.0,0,0,
0xE420,2,66,5.6,11.8,66,20,41,Unclassified,0,1.0,0,0,
0x7410,2,96,8.1,11.8,96,43,71,Transcription,2.4,4.752576830725918e-05,20,1,Transcription(2.4x)
0x4D34,2,861,73.8,11.7,861,207,499,Structural,2.88,0.0008402993923461396,12,4,Structural(2.88x); Chromatin(2.58x); Transcription(1.67x); Signaling(1.57x)
0x8828,2,133,11.4,11.7,133,37,99,Cytoskeleton,5.87,0.0014384327457189886,5,1,Cytoskeleton(5.87x)
0xD5BD,2,408,35.1,11.6,408,137,299,Kinase,2.43,0.0011688738899328264,15,1,Kinase(2.43x)
0x0A20,2,104,8.9,11.6,104,31,78,Chromatin,3.88,0.001640338428674703,7,1,Chromatin(3.88x)
0xB72C,2,117,10.1,11.6,117,45,76,Transcription,2.41,2.8904584721454035e-05,21,1,Transcription(2.41x)
0xF4DF,2,55,4.7,11.6,55,21,41,Transcription,2.95,0.00013780345903842325,12,1,Transcription(2.95x)
0x8A25,2,206,17.9,11.5,206,60,148,Cell cycle,4.11,0.0006282075927076776,8,1,Cell cycle(4.11x)
0x3698,2,85,7.4,11.5,85,28,48,Cell adhesion,7.09,0.0021946550483249853,4,2,Cell adhesion(7.09x); Transcription(2.39x)
0x74D3,2,168,14.6,11.5,168,55,121,Cell adhesion,5.42,0.0007540611345912173,6,2,Cell adhesion(5.42x); Signaling(2.24x)
0xB5DA,2,95,8.3,11.5,95,32,59,Unclassified,0,1.0,0,0,
0xF4D3,2,56,4.9,11.5,56,16,39,Unclassified,0,1.0,0,0,
0xE425,2,78,6.8,11.5,78,31,63,Unclassified,0,1.0,0,0,
0x8BD8,2,85,7.4,11.4,85,23,56,Unclassified,0,1.0,0,0,
0xF6DF,2,97,8.5,11.4,97,28,78,Unclassified,0,1.0,0,0,
0x7798,2,95,8.4,11.3,95,30,65,Cytoskeleton,7.24,0.0005347667248917102,5,2,Cytoskeleton(7.24x); Nuc acid bind(2.41x)
0xDCB2,2,398,35.2,11.3,398,140,258,Transcription,2.14,1.0117143127294886e-09,58,1,Transcription(2.14x)
0xDCBD,2,177,15.7,11.3,177,56,129,Cell adhesion,4.43,0.0050989955974259675,5,1,Cell adhesion(4.43x)
0x2082,2,297,26.6,11.2,297,107,221,DNA repair,3.03,0.0005331518374411394,12,3,DNA repair(3.03x); Nuc acid bind(2.63x); Chromatin(2.09x)
0x5B9C,2,103,9.2,11.2,103,40,76,Unclassified,0,1.0,0,0,
0x36DB,2,186,16.7,11.1,186,58,116,Unclassified,0,1.0,0,0,
