word_hex,word_bytes,word_ascii,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_with_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,primary_func_carrier_rate_pct,primary_func_background_rate_pct,all_significant_functions,n_significant_functions,top_families,family_concentration,top_family,all_carrier_genes
0x9450,94 50,.P,2,124,14.38,8.6,124,36,91,Unclassified,0.0,N/A,0,0.0,0.0,,0,CTPS(7); ADAR(7); DICER(6); AP3B(6); DNAH(4); MJ(3); FAM227A(3); ALDH3A(2); WDR(2); DPY19L(2),5.6,CTPS,ADAR; ALDH3A1; AMY2A; AMY2B; AP2M1; AP3B2; ATP1B4; Aldh3a1; Ap3b2; BIRC3; Baz2a; CC2D1A; CCNL1; CFAP47; CSE1L; CTPS1; CUL4B; CYB2; Ccdc15; Cenpm; Cep170; Cep170b; Cse1l; Ctps1; Cyp313a1; DCDC1; DHX29; DICER1; DNAH3; DNAH8; DNAH9; DPY19L4; Dnmbp; Dpy19l4; ECM29; ENV7; ESCO1; EXO1; Exo1; FAM227A; Farp2; Fbxw10; GGA3; GRM1; GTF2I; Grm1; HSPA12A; Hmu; Htt; IFM1
0x356B,35 6B,5k,2,162,13.09,12.4,162,69,122,Unclassified,0.0,N/A,0,0.0,0.0,,0,SBF(5); SPG(5); HTT(4); PPFIA(4); COL13A(3); ABI3BP(3); CLCNKB(3); MUC(3); SLC1A(3); TIAM(3),3.1,SBF,"ABCA13; ABI3BP; AK9; AKNA; ANKHD1; ANO7; ARHGEF18; ARMCX4; ATRIP; Agrn; BIRC6; BOC; CCDC17; CCT4; CFAP46; CG6966; CHST13; CLCNKA; CLCNKB; COL13A1; COL14A1; Cd70; Clcnka; Cspg4; Ctnnd2; DNAH10; DSC2; DUG3; DUR1,2; DVL1; Dvl1; FAM153A; GLOD4; Gask1b; Gyc32E; HAVCR2; HELQ; HELZ; HERC2; HRD3; HTT; Helz; IGSF9B; ITGA3; Jakmip3; Jmjd1c; KALRN; Kdm5c; Kdm6b; Kif14"
0xA79B,A7 9B,..,2,71,7.25,9.8,71,34,53,Unclassified,0.0,N/A,0,0.0,0.0,,0,ADGRB(4); GPSM(4); CHLSN(3); SLC27A(3); HMX(2); ZNF(2); HLTF(2); ADAMTS(2); SPG(2); SYNJ(2),5.6,ADGRB,ADAMTS13; ADGRA3; ADGRB2; AGAP2; AIFM3; Aifm3; BEGAIN; Bend4; CDHR4; CHLSN; CLEC11A; Ccp110; EHMT2; FAM83H; GATA4; GPSM1; Golga5; Gpank1; HLTF; HMX1; HSP60; INAVA; KATNAL1; Kdm2; LINC02875; MCTP1; MYORG; NPHS2; PLEKHA4; PML; PTPRT; Pja2; RECQL4; RPS6KA4; Recql4; SLC27A3; SPG7; SYNJ2; Sema4f; Sh2b2; Slc27a3; TNFRSF4; TRPM3; TTC34; Tbc1d2; Terf2; Tusc1; VILL; ZNF764; ZNF771
0x356A,35 6A,5j,2,95,12.13,7.8,95,45,76,Unclassified,0.0,N/A,0,0.0,0.0,,0,NUP(7); FGFR(4); TTC23L(4); KIF16B(3); MUC(2); A1CF(2); CDH(2); HDAC(2); PARP(2); KCNMA(2),7.4,NUP,A1CF; AARS2; ACIN1; AMTN; ARHGEF17; ATP7B; AUS1; Adgre1; Atg2a; Atp7b; BRCA1; C7orf25; CARMIL2; CDH16; CENPK; Cenpk; Cntnap5c; DISP1; DNAH5; EFCC1; ELM1; EMC1; ERC1; ESP1; Eva1b; FAM135B; FAM83C; FAM83H; FGFR2; FGFR3; FRMPD4; GAS2L2; HDAC7; Il4i1; Inf2; KCNMA1; KIF16B; KIF1A; KIF26A; KIP1; Kif16b; MACF1; MCM2; MJ0108; MMP16; MUC4; Mmel1; Mmp16; NUP100; NUP58
0xC960,C9 60,.`,2,267,13.49,19.8,267,101,197,Unclassified,0.0,N/A,0,0.0,0.0,,0,AKAP(11); TMEM(6); KLC(5); ARHGEF(5); GOLGA(5); STAT(4); BRD(4); TRIP(4); UNKNOWN_GENE(4); DOCK(4),4.1,AKAP,ADAR; AFDN; AKAP9; ANKRD18B; ARHGAP31; ARHGEF1; Acp36DE; Akap9; Alox8; Art7; BIO2; BLTP3A; BLTP3B; BRD2; BRD3; BRD4; Bltp3b; Bpifb3; Bre1; Brr2; C4A; C4B; CCDC18; CCDC88A; CDKL4; CEP290; CFAP65; CLIP-190; CLIP1; CNBD1; CNTNAP5; COL6A5; COMMD8; CRACDL; CSGALNACT1; CTNNA1; CUX1; CYFIP1; Ccdc18; Ccdc42; Cdkl4; Cenpe; Cenpu; Cgn; Cntnap5a; Cntnap5c; Cntrl; Commd8; Ctnna1; Cul4b
0x05D5,05 D5,..,2,218,42.57,5.1,218,103,187,Unclassified,0.0,N/A,0,0.0,0.0,,0,FANCM(6); SH3KBP(5); LGI(4); PLEKHA(3); DOCK(3); LAMA(3); CMKLR(3); ZNF(2); UBR(2); RXFP(2),2.8,FANCM,ABCC2; ADGRE1; AGAP2; ARHGEF10; ATAD5; ATRN; Abcc2; Ambn; Atr; BCK2; BLTP1; BNC1; BRCA2; CCDC14; CDKL5; CENPI; CHD4; CHD9; CIT; CMKLR2; CNK3/IPCEF1; CPLANE1; Cad86C; Cdkl5; Crag; Cyp6g1; DBP6; DENND3; DENND4A; DENND4C; DGKD; DMXL1; DNAH14; DOA4; DOCK8; DOCK9; DPP9; DSP; DYM; Ddx31; Dgkd; Dlg5; Dym; EML4; Etaa1; F8; FAA2; FANCM; FASTKD1; FBXW10
0xA725,A7 25,.%,2,133,26.18,5.1,133,47,87,Unclassified,0.0,N/A,0,0.0,0.0,,0,ALS(17); OAS(10); RPGR(7); TRIM(6); MOV(4); CYP2A(3); ENTPD(3); HERC(3); Ccdc(2); C4orf(2),12.8,ALS,ABCB8; ALS2; APOBEC4; ARNT; ATXN1L; Atp2c1; Atxn1l; C4orf50; CCDC120; CCDC73; CDH20; CLCN2; CLTC; CLTCL1; CYP2A13; CYP2A6; CYP2A7; Ccdc120; Ccdc136; Cdh20; Cyp2a5; ECE2; EDE1; EEF1AKMT4-ECE2; ENTPD5; ESBP6; F13A1; Fbp1; GNBP3; Gba2; Gpat2; Gusb; HERC4; HERC5; HERC6; HSC82; HSP82; Herc6; INTS8; ITIH1; Ino80d; KRIT1; MAN2A2; MHP1; MMRN2; MOGS; MOV10; MROH2A; NEK1; NUP160
0xB410,B4 10,..,2,50,9.22,5.4,50,14,46,Unclassified,0.0,N/A,0,0.0,0.0,,0,KDM6A(3); LRPPRC(2); ENOX(2); Edc(1); Cacna2d(1); Egfr(1); ERO1B(1); Cdc(1); ANKFY(1); fliI(1),6.0,KDM6A,ANKFY1; AOX1; Asator; BNR1; CACNA2D3; CCP1; CCSER2; Cacna2d3; Cdc7; CycT; EIF2A; ENOX2; ERO1B; Edc3; Egfr; Eo; GAL11; Gtsf1; KDM6A; KIN2; LRP2; LRPPRC; MLF3; MRI1; Mier2; NAB6; PLA2G6; Phlpp2; Pnliprp1; Qars1; RanGAP; Rbl2; Rtel1; SMC1; SPT20; Srpra; TRE1; VAV3; Vav3; YAP1801; ZC3H3; der; eif6; fliI; hom; nmpC
0x0568,05 68,.h,2,237,20.36,11.6,237,93,180,Unclassified,0.0,N/A,0,0.0,0.0,,0,KIDINS(9); ABI(7); DICER(6); RB(5); PPP1R(4); DDX(4); TSGA(4); CCDC(3); IDH3B(3); TLR(3),3.8,KIDINS,ABCA13; ABI2; ACTR5; APC1; APOA5; ARHGEF12; ASAH1; Abi2; Ash1l; Atad5; Atpalpha; BLTP1; Bbs12; C7orf25; CACHD1; CCDC14; CCDC144A; CCDC18; CCDC88A; CEM1; CENPC; CEP290; CNTLN; Cachd1; Cage1; Ccdc158; Ccdc7a; Ccdc85c; Cdk5rap2; Copb2; DDX1; DICER1; DSC3; Ddx1; Dicer1; EPS15; EXO70; FCRL3; GOT1; GP1BA; GSAP; GVINP1; Gcnt1; Gtf3c1; HAUS3; HDLBP; Hnrnpm; IDH3B; ITGA2B; ITGA6
0xF79B,F7 9B,..,2,84,12.34,6.8,84,45,69,Unclassified,0.0,N/A,0,0.0,0.0,,0,FBXL(5); PGR(4); SORBS(3); PRSS(2); POLR1A(2); EPHB(2); TEPSIN(2); SIK(2); CCKBR(2); SLC9A(1),6.0,FBXL,AJM1; ATP2B2; Ajm1; BIN2; Bhlhe22; Bin2; CCKBR; CHADL; CHMP1A; CNTN3; CRYBG1; Chst7; Cntn3; Derpc; EPHB4; Ephb4; FAM171A1; FBXL19; FBXW9; Fbxl19; GMIP; GSE1; Gprasp2; HIF3A; Haus5; ICAM5; Ino80; KANK3; Klf1; LRP5; Lmtk3; MAPK8IP1; NALF2; Nalf2; Nfkbil1; Nr0b1; PGR; PHRF1; PLEKHG5; POLR1A; PRSS36; PRSS53; Pka-R1; Q08AU9; RASAL3; RNF43; SAMD1; SAPCD2; SCYL1; SIK3
