word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x6082,2,54,8.5,6.4,54,32,54,Unclassified,0,1.0,0,0,
0x1041,2,122,19.2,6.3,122,90,122,Cytoskeleton,4.45,0.0046384368234357615,5,3,Cytoskeleton(4.45x); Signaling(2.57x); Transcription(2.51x)
0x25A2,2,99,16.3,6.1,99,49,99,Cell cycle,2.7,0.004866668127187899,9,1,Cell cycle(2.7x)
0xD74D,2,252,42.0,6.0,252,150,252,Proteolysis,4.84,9.948511579709437e-18,38,2,Proteolysis(4.84x); Nuc acid bind(2.54x)
0x1A5D,2,127,21.1,6.0,127,106,127,Proteolysis,7.39,3.26245420185811e-27,41,2,Proteolysis(7.39x); Nuc acid bind(3.82x)
0x5DB5,2,153,25.7,6.0,153,110,153,Proteolysis,7.12,1.8614690789633803e-26,41,2,Proteolysis(7.12x); Nuc acid bind(3.81x)
0xD5B9,2,56,9.7,5.8,56,27,56,Unclassified,0,1.0,0,0,
0x259D,2,101,17.3,5.8,101,67,101,Chromatin,2.42,0.002016430412992609,13,2,Chromatin(2.42x); DNA repair(2.13x)
0x18A2,2,90,15.8,5.7,90,61,90,Transcription,1.71,0.009195736775177035,19,1,Transcription(1.71x)
0x1881,2,69,12.0,5.7,69,39,69,Unclassified,0,1.0,0,0,
0x4209,2,108,19.1,5.7,108,79,108,Proteolysis,8.71,7.021406658194397e-27,36,2,Proteolysis(8.71x); Nuc acid bind(2.62x)
0xD58D,2,66,11.6,5.7,66,33,66,Unclassified,0,1.0,0,0,
0xD37D,2,63,11.2,5.6,63,44,63,Transcription,2.13,0.0010473207863202264,17,1,Transcription(2.13x)
0xD75D,2,550,98.8,5.6,550,307,550,Kinase,2.87,1.2150144144937527e-10,40,4,Kinase(2.87x); Proteolysis(2.61x); Signaling(2.2x); Transcription(1.69x)
0x8965,2,61,10.9,5.6,61,34,61,Signaling,4.34,0.0008548678182531076,7,2,Signaling(4.34x); Kinase(3.89x)
0x4105,2,74,13.3,5.6,74,47,74,Transcription,2.23,0.0002701502962947829,19,1,Transcription(2.23x)
0x2596,2,188,34.3,5.5,188,100,188,Kinase,2.64,0.001580906059831172,12,1,Kinase(2.64x)
0xD5B2,2,55,10.0,5.5,55,38,55,Transcription,2.46,0.00012968519103005537,17,1,Transcription(2.46x)
0xD581,2,92,16.6,5.5,92,57,92,Ubiquitin,3.14,0.006128624948170817,7,2,Ubiquitin(3.14x); Transcription(2.03x)
0x1F5D,2,53,9.7,5.5,53,44,53,Proteolysis,11.72,8.078977404886858e-25,27,2,Proteolysis(11.72x); Nuc acid bind(2.96x)
0xD89D,2,85,15.8,5.4,85,48,85,Cytoskeleton,6.68,0.0026890306779070805,4,1,Cytoskeleton(6.68x)
0xD77D,2,128,23.7,5.4,128,83,128,Proteolysis,5.75,1.0910032041027062e-13,25,3,Proteolysis(5.75x); Signaling(2.79x); Nuc acid bind(1.62x)
0xDF4D,2,58,10.7,5.4,58,28,58,Unclassified,0,1.0,0,0,
0x618A,2,104,19.7,5.3,104,59,104,Chromatin,2.54,0.0019617607141820784,12,1,Chromatin(2.54x)
0xD96D,2,51,9.6,5.3,51,25,51,Unclassified,0,1.0,0,0,
0x4174,2,166,31.0,5.3,166,116,166,Proteolysis,5.11,3.366557106020342e-15,31,4,Proteolysis(5.11x); Kinase(2.28x); Signaling(2.18x); Nuc acid bind(2.03x)
0x574D,2,79,15.0,5.3,79,55,79,Proteolysis,13.55,1.0179253022240714e-39,39,2,Proteolysis(13.55x); Nuc acid bind(3.42x)
0x25A1,2,54,10.3,5.3,54,32,54,Unclassified,0,1.0,0,0,
