word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x5D75D75D,4,128,25.6,5.0,128,25,102,Transcription,2.14,0.0014606232760535185,14,1,Transcription(2.14x)
0x75D75D75,4,82,16.4,5.0,82,18,65,Unclassified,0,1.0,0,0,
0x75D75D,3,326,65.2,5.0,326,94,265,Transcription,1.75,3.0450272194870303e-05,43,1,Transcription(1.75x)
0xCB2CB2,3,107,21.4,5.0,107,46,78,Transcription,2.74,1.2125862565165633e-10,33,1,Transcription(2.74x)
0xB2CB2C,3,85,17.0,5.0,85,39,65,Transcription,2.55,1.2709341886729458e-07,26,1,Transcription(2.55x)
0x596596,3,21,4.2,5.0,21,8,17,Unclassified,0,1.0,0,0,
0x208208,3,36,7.2,5.0,36,14,31,GTPase,7.92,0.005712955708877157,3,1,GTPase(7.92x)
0x7987,2,54,10.7,5.0,54,25,50,RNA processing,10.86,7.974882401898774e-09,10,2,RNA processing(10.86x); Nuc acid bind(4.39x)
0xDB6DB6,3,20,4.0,5.0,20,11,17,Unclassified,0,1.0,0,0,
0x7205,2,59,11.8,5.0,59,24,47,Unclassified,0,1.0,0,0,
0x0AD0,2,88,17.6,5.0,88,21,73,DNA repair,6.72,0.0025823186281601494,4,1,DNA repair(6.72x)
0x69E69E,3,21,4.2,5.0,21,12,19,Nuc acid bind,4.07,0.00013598733174173004,8,1,Nuc acid bind(4.07x)
0xE69E69,3,30,6.0,5.0,30,15,26,Nuc acid bind,4.47,1.59203186871314e-06,11,1,Nuc acid bind(4.47x)
0x1F7D,2,75,14.9,5.0,75,17,63,Unclassified,0,1.0,0,0,
0xD77DF7,3,21,4.2,5.0,21,7,18,Kinase,6.92,2.226889342870799e-05,6,1,Kinase(6.92x)
0xCB2CB2CB,4,57,11.4,5.0,57,25,42,Transcription,3.06,2.7212339595647304e-08,20,1,Transcription(3.06x)
0x69A69A69,4,88,17.6,5.0,88,22,66,Nuc acid bind,2.77,0.0013106348045832585,10,1,Nuc acid bind(2.77x)
0x977977,3,23,4.6,5.0,23,10,14,RNA processing,16.29,4.4165328077094676e-07,6,2,RNA processing(16.29x); Nuc acid bind(6.1x)
0x779779,3,22,4.4,5.0,22,10,13,RNA processing,10.86,0.00031808393072377755,4,2,RNA processing(10.86x); Nuc acid bind(5.49x)
0x797797,3,31,6.2,5.0,31,13,17,RNA processing,12.53,3.284599780149969e-06,6,2,RNA processing(12.53x); Nuc acid bind(6.1x)
0x104104,3,32,6.4,5.0,32,13,27,Transcription,3.53,9.93108987371777e-07,12,1,Transcription(3.53x)
0x28A28A28A2,5,32,6.4,5.0,32,8,24,Unclassified,0,1.0,0,0,
0xA28A28A28A,5,25,5.0,5.0,25,7,18,Unclassified,0,1.0,0,0,
0xA28A28A2,4,48,9.6,5.0,48,12,36,Unclassified,0,1.0,0,0,
0x75D75D75D7,5,41,8.2,5.0,41,7,28,Unclassified,0,1.0,0,0,
0xD75D75D7,4,100,20.0,5.0,100,19,78,Unclassified,0,1.0,0,0,
0x71C71C,3,22,4.4,5.0,22,10,18,Unclassified,0,1.0,0,0,
0xC71C71,3,22,4.4,5.0,22,10,18,Transcription,3.06,0.0005778787944083496,8,1,Transcription(3.06x)
0x77DF7D,3,47,9.4,5.0,47,8,39,Unclassified,0,1.0,0,0,
